NOTICE:  Erro ao finalizar carrinho 626: Produto 417 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 423: Produto 417 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3752: Produto 439 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3630: Produto 417 sem estoque suficiente (solicitado 9, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3986: Produto 417 sem estoque suficiente (solicitado 6, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3298: Produto 417 sem estoque suficiente (solicitado 10, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3513: Produto 417 sem estoque suficiente (solicitado 3, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3145: Produto 417 sem estoque suficiente (solicitado 2, disponível 1)
NOTICE:  Erro ao finalizar carrinho 796: Produto 13 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1394: Produto 13 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1815: Produto 417 sem estoque suficiente (solicitado 4, disponível 1)
NOTICE:  Erro ao finalizar carrinho 3585: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3880: Produto 361 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 10: Produto 361 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2237: Produto 439 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2651: Produto 237 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3310: Produto 13 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3671: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3122: Produto 237 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3075: Produto 417 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2722: Produto 13 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1139: Produto 237 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3878: Produto 237 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1971: Produto 361 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3298: Produto 417 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3057: Produto 417 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2086: Produto 361 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1674: Produto 415 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2508: Produto 92 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 796: Produto 13 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 547: Produto 13 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2230: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2635: Produto 404 sem estoque suficiente (solicitado 10, disponível 6)
NOTICE:  Erro ao finalizar carrinho 1815: Produto 417 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3478: Produto 514 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2659: Produto 13 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2114: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2512: Produto 415 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3162: Produto 417 sem estoque suficiente (solicitado 3, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1542: Produto 417 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 740: Produto 417 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 778: Produto 237 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 561: Produto 92 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 756: Produto 237 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 935: Produto 404 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1143: Produto 401 sem estoque suficiente (solicitado 10, disponível 6)
NOTICE:  Erro ao finalizar carrinho 839: Produto 415 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1549: Produto 404 sem estoque suficiente (solicitado 2, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1789: Produto 13 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3688: Produto 13 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 717: Produto 417 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1593: Produto 13 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3241: Produto 361 sem estoque suficiente (solicitado 9, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2026: Produto 417 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3351: Produto 13 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3418: Produto 415 sem estoque suficiente (solicitado 10, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3791: Produto 401 sem estoque suficiente (solicitado 8, disponível 6)
NOTICE:  Erro ao finalizar carrinho 3075: Produto 417 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2503: Produto 92 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1448: Produto 356 sem estoque suficiente (solicitado 8, disponível 3)
NOTICE:  Erro ao finalizar carrinho 1284: Produto 237 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2035: Produto 361 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3361: Produto 401 sem estoque suficiente (solicitado 9, disponível 6)
NOTICE:  Erro ao finalizar carrinho 1552: Produto 404 sem estoque suficiente (solicitado 5, disponível 0)
NOTICE:  Erro ao finalizar carrinho 473: Produto 514 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3588: Produto 514 sem estoque suficiente (solicitado 1, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2567: Produto 237 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 474: Produto 13 sem estoque suficiente (solicitado 6, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1624: Produto 415 sem estoque suficiente (solicitado 4, disponível 2)
NOTICE:  Erro ao finalizar carrinho 1789: Produto 13 sem estoque suficiente (solicitado 9, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3767: Produto 237 sem estoque suficiente (solicitado 10, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2854: Produto 417 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3224: Produto 514 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2854: Produto 417 sem estoque suficiente (solicitado 6, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2141: Produto 237 sem estoque suficiente (solicitado 4, disponível 0)
NOTICE:  Erro ao finalizar carrinho 2701: Produto 92 sem estoque suficiente (solicitado 3, disponível 2)
NOTICE:  Erro ao finalizar carrinho 973: Produto 415 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 2967: Produto 356 sem estoque suficiente (solicitado 5, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3051: Produto 237 sem estoque suficiente (solicitado 7, disponível 0)
NOTICE:  Erro ao finalizar carrinho 3980: Produto 13 sem estoque suficiente (solicitado 7, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3617: Produto 92 sem estoque suficiente (solicitado 8, disponível 2)
NOTICE:  Erro ao finalizar carrinho 3445: Produto 439 sem estoque suficiente (solicitado 8, disponível 0)
NOTICE:  Erro ao finalizar carrinho 1556: Produto 356 sem estoque suficiente (solicitado 8, disponível 2)
